netMosAvg,d2cLossAvg,e2eJitterAvg,d2cJitterAvg,e2eLossAvg,jitDepthAvg,playSpeedAvg
1.05304,55,860,860,55,3508,1.0
1.0,72,1009,1009,72,4144,1.0
1.0,84,975,975,84,4218,1.0
3.3535,21,217,217,21,4238,1.0
3.25189,17,282,282,17,3569,1.0
1.99551,31,520,520,31,2789,1.0
1.11204,46,721,721,46,3071,1.0
1.0,60,871,871,60,3877,1.0
1.0,77,1014,1014,77,4154,1.0
1.0,89,1038,1038,89,4211,1.0
3.6621699999999997,10,151,151,10,4127,1.0
2.74505,22,364,364,22,3247,1.0
1.70967,36,624,624,36,2648,1.0
1.11826,51,796,796,51,3385,1.0
1.0,66,974,974,66,3999,1.0
1.0,83,1040,1040,83,4195,1.0
2.71843,39,347,347,39,4243,1.0
3.48242,13,232,232,13,3813,1.0
2.57635,26,443,443,26,2993,1.0
1.3588799999999999,41,667,667,41,2849,1.0
1.0005600000000001,56,895,895,56,3812,1.0
1.0,72,980,980,72,4088,1.0
1.0,88,1009,1009,88,4168,1.0
3.6429,9,101,101,9,4195,1.0
3.23212,17,282,282,17,3505,1.0
2.03709,33,518,518,33,2731,1.0
1.12945,45,717,717,45,3047,1.0
1.0,60,951,951,60,3436,1.0
1.0,79,1066,1066,79,3971,1.0
1.0,90,942,942,90,4161,1.0
3.80744,7,137,137,7,4074,1.0
3.0087599999999997,22,372,372,22,3214,1.0
1.7307099999999997,36,629,629,36,2551,1.0
1.0452299999999999,53,816,816,53,3011,1.0
1.0,68,990,990,68,3927,1.0
1.0,85,1162,1162,85,4169,1.0
2.54027,43,360,360,43,4226,1.0
3.50149,13,229,229,13,3859,1.0
2.43443,27,475,475,27,3039,1.0
1.34853,40,639,639,40,2852,1.0
1.0145600000000001,56,893,893,56,3565,1.0
1.0,73,1036,1036,73,4066,1.0
1.0,87,1071,1071,87,4137,1.0
3.3780699999999997,19,114,114,19,4177,1.0
3.2273099999999997,17,284,284,17,3487,1.0
2.02084,33,518,518,33,2707,1.0
1.1541299999999999,46,764,764,46,3220,1.0
1.0000799999999999,63,983,983,63,4040,1.0
1.0,77,1033,1033,77,4203,1.0
1.0,89,986,986,89,4228,1.0
3.69141,11,138,138,11,4154,1.0
2.88558,22,386,386,22,3274,1.0
1.5057,39,601,601,39,2691,1.0
1.05501,53,794,794,53,3498,1.0
1.0,68,929,929,68,3819,1.0
1.0,82,1158,1158,82,4120,1.0
2.7335599999999998,38,379,379,38,4217,1.0
3.61536,11,218,218,11,3810,1.0
2.39792,27,439,439,27,2990,1.0
1.2374399999999999,43,683,683,43,2665,1.0
1.01199,56,895,895,56,3678,1.0
1.0,72,1002,1002,72,4100,1.0
1.0,87,1115,1115,87,4147,1.0
3.7051800000000004,5,96,96,5,4201,1.0
3.27027,17,287,287,17,3511,1.0
2.0037599999999998,32,493,493,32,2734,1.0
1.14783,48,795,795,48,3038,1.0
1.0,63,905,905,63,3727,1.0
1.0,78,1082,1082,78,4136,1.0
1.0,89,1008,1008,89,4166,1.0
3.58072,12,139,139,12,4099,1.0
2.77217,23,347,347,23,3219,1.0
1.7142,37,556,556,37,2682,1.0
1.0482200000000002,51,864,864,51,3172,1.0
1.0,68,977,977,68,4092,1.0
1.0,82,1012,1012,82,4150,1.0
2.71773,35,353,353,35,4150,1.0
3.7111199999999998,10,203,203,10,3742,1.0
2.35277,28,446,446,28,2922,1.0
1.2831700000000001,41,673,673,41,2782,1.0
1.0,59,950,950,59,3417,1.0
1.0,73,960,960,73,4078,1.0
1.0,86,1183,1183,86,4133,1.0
3.67795,13,181,181,13,4161,1.0
3.20768,18,300,300,18,3471,1.0
2.0840099999999997,31,575,575,31,2711,1.0
1.23,45,723,723,45,2911,1.0
1.001,61,972,972,61,3583,1.0
1.0,74,887,887,74,4118,1.0
1.0,91,913,913,91,4189,1.0
3.8572699999999998,6,147,147,6,4091,1.0
2.80908,22,376,376,22,3231,1.0
1.26891,38,551,551,38,2599,1.0
1.04082,53,826,826,53,3480,1.0
1.0,66,949,949,66,3950,1.0
1.0,83,961,961,83,4076,1.0
2.7532900000000002,35,369,369,35,4113,1.0
3.70097,9,222,222,9,3706,1.0
2.36603,28,406,406,28,2886,1.0
1.42818,42,671,671,42,2683,1.0
0.99971,57,860,860,57,3519,1.0
1.0,74,1052,1052,74,4094,1.0
1.0,84,968,968,84,4155,1.0
3.7042599999999997,12,199,199,12,4184,1.0
3.25932,16,290,290,16,3474,1.0
1.81892,34,541,541,34,2714,1.0
1.14792,48,722,722,48,3040,1.0
1.0,63,894,894,63,3759,1.0
1.0,75,991,991,75,4148,1.0
1.0,91,1059,1059,91,4160,1.0
3.68347,12,142,142,12,4064,1.0
3.01485,20,366,366,20,3204,1.0
1.695,36,577,577,36,2706,1.0
1.01624,51,834,834,51,3264,1.0
1.0,64,1039,1039,64,4017,1.0
1.0,80,954,954,80,4133,1.0
3.21807,27,376,376,27,4180,1.0
3.6493800000000003,11,224,224,11,3796,1.0
2.54593,25,435,435,25,2956,1.0
1.2615399999999999,43,682,682,43,2594,1.0
